"title", "url", "latitude", "longitude", "description", "logo", "active_members", "3month_transactions"
"Abrayliens","abrayliens.communityforge.net","","","","http://abrayliens.communityforge.net/system/files/st jean de braye.jpg","26","75"
"Entraide Marcilloise","agenda21marcilly69.communityforge.net","","","Plateforme d'&Atilde;&copy;changes, de trocs et de dons de Marcilly d'Azergues","http://agenda21marcilly69.communityforge.net/system/files/marcilly blason.jpg","3","0"
"Sel d'Alisse","alissel.communityforge.net","","","Cr&Atilde;&copy;ons des &Atilde;&copy;changes !","http://alissel.communityforge.net/system/files/209px-Chestnut.jpg","4","0"
"AlternatiSel","alternatisel.communityforge.net","","","Le lien est plus fort que le bien","http://alternatisel.communityforge.net/system/files/logo alternatisel v5_0.png","14","6"
"Arc-en-SEL de Campbon","arcenselcampbon.communityforge.net","","","","http://arcenselcampbon.communityforge.net/system/files/logo SEL.png","5","0"
"arcensel.communityforge.net","arcensel.communityforge.net","","","Mettez ici votre slogan","","14","3"
"Athens Integral Cooperative","athens.communityforge.net","","","&Icirc;Ÿ&Icirc;&raquo;&Icirc;&iquest;&Icirc;&ordm;&Icirc;&raquo;&Icirc;&middot;&Iuml;&Iuml;‰&Icirc;&frac14;&Icirc;&shy;&Icirc;&frac12;&Icirc;&middot; &Icirc;š&Icirc;&iquest;&Icirc;&iquest;&Iuml;€&Icirc;&micro;&Iuml;&Icirc;&plusmn;&Iuml;„&Icirc;&macr;&Icirc;&sup2;&Icirc;&plusmn; &Icirc;‘&Icirc;&cedil;&Icirc;&middot;&Icirc;&frac12;&Iuml;Ž&Icirc;&frac12;","http://athens.communityforge.net/system/files/Cooperativas ICAC1.jpg","9","15"
"avec.communityforge.net","avec.communityforge.net","5.183815","44.067689","Site de partages et de services du pi&Atilde;&copy;mont du Ventoux","http://avec.communityforge.net/system/files/logo.png","6","0"
"SEL'Idaire Bac &Atilde;&nbsp; Sable d'Annick","bac-annick.communityforge.net","","","Juste pour permettre &Atilde;&nbsp; la d&Atilde;&copy;licieuse Annick de tenter la maitrise de ses fonctions","http://bac-annick.communityforge.net/system/files/logo_selidaire_v5.jpg","2","0"
"Le grenier &Atilde;&nbsp; SEL","beaugen.communityforge.net","","","Pour changer, &Atilde;&copy;changeons!","http://beaugen.communityforge.net/sites/beaugensel.fr/files/logo_beaugency.jpg","14","15"
"BegleSel","beglesel.communityforge.net","","","","http://beglesel.communityforge.net/system/files/beglesel_ logo.jpg","15","0"
"besansel.fr","besansel.fr","6.0240539","47.237829","Pour changer, &Atilde;&copy;changeons !","http://besansel.fr/sites/univers-sel.be/files/sky_seldulac_logo.png","23","0"
"AtoutSEL","bleu.communityforge.net","","","Le lien vaut mieux que le bien","http://bleu.communityforge.net/sites/bleu.communityforge.net/files/sky_seldulac_logo.jpg","48","0"
"bosseldeloire","bosseldeloire.communityforge.net","","","Le syst&Atilde;&uml;me d'&Atilde;&copy;change local du Gennois et des environs","http://bosseldeloire.communityforge.net/system/files/Bossel de Loire C.jpg","11","0"
"Buechange solidaire","buechange.fr.nf","0","0","Syst&Atilde;&uml;me d'Echange Local","","5","6"
"Ci-Ro-SEL","cirosel.be","","","Le SEL de Ciney et Rochefort ","http://cirosel.be/sites/cirosel.be/files/sky_seldulac_logo.jpg","49","90"
"Cl&Atilde;&copy;s de SEL ","clesdesel.be","","","Le Syst&Atilde;&uml;me d'Echange Local de Gembloux et ses Villages","http://clesdesel.be/sites/clesdesel.be/files/sky_seldulac_logo.jpg","69","108"
"Coeur de Sel","coeurdesel.communityforge.net","","","","http://coeurdesel.communityforge.net/system/files/13718796_1656807027976895_4006705929821429496_n.jpg","3","0"
"Coin-JEU Toulon","coin-jeu.communityforge.net","5.928","43.124228","&Acirc;&laquo; Une alternative simple et conviviale &Atilde;&nbsp; l'argent &Acirc;&raquo;","http://coin-jeu.communityforge.net/sites/coin-jeu.communityforge.net/files/sky_seldulac_logo.png","16","0"
"Coordination PACA","coordination-paca.communityforge.net","","","Quand les Sel de la r&Atilde;&copy;gion PACA s'offrent un site....","http://coordination-paca.communityforge.net/system/files/Logo-CR-PACA.jpg","7","0"
"Bienvenue sur le site du Cprin","cprin.communityforge.net","","","Collectif Pour les Rencontres InterSel Nationales","","14","0"
"C-S-R-F-V.Bac a sable","csrfv-bacasable.communityforge.net","6.929273","46.989987","Coordination Suisse Romande &amp; France Voisine","http://csrfv-bacasable.communityforge.net/system/files/Intersel_0.jpg","10","9"
"C-S-R-F-V","csrfv.communityforge.net","6.929273","46.989987","Coordination Suisse Romande &amp; France Voisine","http://csrfv.communityforge.net/system/files/csrfv.jpg","15","9"
"Dane County TimeBank","danecountytimebank.org","0","0","Neighbors Helping Neighbors","http://danecountytimebank.org/sites/danecountytimebank.org/files/dctb_logo.gif","82","144"
"DEFISel","defisel.be","","","Pour changer..., Echangeons !","http://defisel.be/sites/defisel.be/files/sky_seldulac_logo.jpg","36","69"
"Demo (bel)","demo-bel.communityforge.net","","","Mettez ici votre slogan","","6","6"
"Demo (fra)","demo-fra.communityforge.net","","","c mon sel","","4","9"
"SELlier du Dijonnais","dijon.communityforge.net","5.031671762335463","47.315108206886485","Le lien est plus important que le bien","http://dijon.communityforge.net/sites/dijon.communityforge.net/files/sky_seldulac_logo.gif","18","0"
"&Icirc;”&Icirc;&macr;&Icirc;&ordm;&Iuml;„&Iuml;…&Icirc;&iquest; &Icirc;‘&Icirc;&frac12;&Iuml;„&Icirc;&plusmn;&Icirc;&raquo;&Icirc;&raquo;&Icirc;&plusmn;&Icirc;&sup3;&Iuml;Ž&Icirc;&frac12; &Icirc;&sect;&Icirc;&plusmn;&Icirc;&frac12;&Icirc;&macr;&Iuml;‰&Icirc;&frac12;","diktyoantallagonxanion.net","0","0","","http://diktyoantallagonxanion.net/system/files/final_logo.jpg","24","126"
"DinaSEL, le SEL de Dinant","dina-sel.net","0","0","Mettez du SEL dans votre vie !","http://dina-sel.net/sites/dina-sel.net/files/Logo.png","19","15"
"Dionys'SEL","dionyssel.org","2.3574429999999893","48.936181","Plus de lien, moins de biens !","http://dionyssel.org/sites/dionyssel.org/files/sky_seldulac_logo.jpg","16","156"
"Durbuy'SEL","durbuysel.be","5.49344","","L'abondance est le fruit du partage","http://durbuysel.be/system/files/sel.png","23","24"
"Sel en Durance O&amp;D","dur.communityforge.net","5.57","","Favoriser le lien plut&Atilde;&acute;t que le bien","http://dur.communityforge.net/sites/univers-sel.be/files/sky_seldulac_logo.png","14","27"
"R&Atilde;&copy;seau d'&Atilde;&copy;changes et savoirs-faire solidaire","echangedesavoirs.communityforge.net","","","- - - - - - - - Mise en relation entre particuliers souhaitant s&acirc;€™entraider et &Atilde;&copy;changer.","http://echangedesavoirs.communityforge.net/system/files/LOGO CASA'CO POUR IMPRESSION.jpg","10","0"
"Episel d'Epinal","episel.communityforge.net","","","","http://episel.communityforge.net/system/files/Logo EpiSEL Trans.png","47","69"
"Essen'Sel","essensel.communityforge.net","","","","http://essensel.communityforge.net/system/files/logoessensel.jpg","16","9"
"EstunSEL ","estunsel.fr","0","0","Pour changer, &Atilde;&copy;changeons !","http://estunsel.fr/sites/estunsel.fr/files/sky_seldulac_logo.jpg","24","0"
"Une &Atilde;‰tinSEL &Atilde;&nbsp; La Verri&Atilde;&uml;re","etinsel.communityforge.net","","","Ne laissez pas la peur gouverner votre vie (Nathalie Dessay)","http://etinsel.communityforge.net/system/files/etinsel.jpg","5","0"
"Biomimicry Credit Exchange","exchange.biomimicry.communityforge.net","","","Connecting the biomimicry community to our own abundance","","1","0"
"FI-SEL","fi-sel.communityforge.net","","","Le SEL du vallon de l'Artolie","http://fi-sel.communityforge.net/system/files/Logo FiSel.jpg","21","0"
"Sel Fleur de Bl&Atilde;&copy; Noir","fleurdeblenoir.fr","","","Syst&Atilde;&uml;me d'Echange Local de la r&Atilde;&copy;gion de Quimper","","32","0"
"Fleur de SEL","fleurdesel.communityforge.net","","","Echanger c'est changer ","http://fleurdesel.communityforge.net/system/files/LogoFleurdeSel.png","12","12"
"fleursdesel73.communityforge.net","fleursdesel73.communityforge.net","","","Ne vivons plus solitaires, vivons ensemble et solidaires","http://fleursdesel73.communityforge.net/system/files/thumbnail_nouveau_logo.jpg","15","24"
"Syst&Atilde;&uml;me d'Echanges Local : &quot;Sel du Forez&quot;","forez.communityforge.net","","","Bienvenue sur le site du Forez","http://forez.communityforge.net/system/files/Logo JPEG_3.jpg","15","0"
"Formations - Rencontres","formations-rencontre.communityforge.net","","","CommunityForge ses Rencontres et Formations","","2","0"
"SEL Gabare","gabare.communityforge.net","","","Le SEL de Pessac et de la M&Atilde;&copy;tropole Bordelaise depuis plus de 20 ans !!! ","http://gabare.communityforge.net/sites/gabare.communityforge.net/files/sky_seldulac_logo.jpg","27","0"
"LA GALIOTE","galiote.communityforge.net","","","Le lien est plus important que le bien","http://galiote.communityforge.net/system/files/LOGO FLYER.jpg","5","3"
"Gedisel","gedisel.communityforge.net","","","Et la Vie &Atilde;&copy;tincelle","http://gedisel.communityforge.net/system/files/logo Gedisel.jpg","14","6"
"Gestion-InterSEL","gestionintersel.communityforge.net","","","L'&Atilde;&copy;change entre Sel est le Sel de L'&Atilde;&copy;change","","4","0"
"GMSel.be","gmsel.be","","","Des &Atilde;&copy;changes &Atilde;&nbsp; l'appel","http://gmsel.be/system/files/GMselwebpetit_0.jpg","20","42"
"grain2sel.net","grain2sel.net","","","Syst&Atilde;&uml;me d'&Atilde;&copy;change local - Pays Drouais et Houdanais","http://grain2sel.net/system/files/Capture dâ€™Ã©cran 2014-08-25 Ã  09.14.42.png","18","33"
"Hou L'Beau Sel","hb-sel.be","","","Service d'&Atilde;&copy;change local Houyet - Beauraing","http://hb-sel.be/sites/hb-sel.be/files/sky_seldulac_logo.png","34","48"
"icndreux.communityforge.net","icndreux.communityforge.net","","","Initiatives Citoyennes Nouvelles","http://icndreux.communityforge.net/system/files/icn2.jpg","3","0"
"Jardin d'&Atilde;&copy;change Universel Montpellier","jeu.montpellier.communityforge.net","","","R&Atilde;&copy;seau d'&Atilde;&copy;change de biens et de service autog&Atilde;&copy;r&Atilde;&copy; et sans fronti&Atilde;&uml;res","http://jeu.montpellier.communityforge.net/system/files/image jeu reduite.png","16","0"
"Le JusteSEL de Mettet","justesel-mettet.be","0","0","On a tous quelque chose &Atilde;&nbsp; partager","http://justesel-mettet.be/system/files/LogoJusteSEL_Mettet_petit.jpg","19","45"
"SeldeGap.com","labelleseldegap.communityforge.net","","","BELLE comme Bourse d&acirc;€™Echanges Locaux Libres et Equitables","http://labelleseldegap.communityforge.net/system/files/sel_7.jpg","16","0"
"La Clef de SEL, Rochefort","laclefdesel.fr","0","0","Pour changer, &Atilde;&copy;changeons... sans argent !","http://laclefdesel.fr/sites/laclefdesel.fr/files/clef2sel.jpg","22","0"
"Les bouts d'ficelle","laficelle.communityforge.net","","","Le SEL d'Avon, de Fontainebleau et des alentours","http://laficelle.communityforge.net/system/files/Lesboutsdficelle_rÃ©duit.jpg","15","36"
"laura-intersel","laura-intersel.communityforge.net","","","Loire.AUvergne.Rhone-Alpes (LAURA) - INTERSEL PRATIQUE","","4","0"
"Le BeauSEL","lebeausel.fr","5","44","SEL de Carpentras","http://lebeausel.fr/sites/selesneux.be/files/sky_seldulac_logo.png","17","27"
"Le Galet du Buech","legaletdubuech.communityforge.net","","","Le lien plut&Atilde;&acute;t que le bien","http://legaletdubuech.communityforge.net/system/files/logo.jpg","39","60"
"Alen'Sel ","les-courts-circuits.communityforge.net","","","Plateforme d&acirc;€™&Atilde;&copy;change de coups de mains, de biens et de savoir &Atilde;&nbsp; Alen&Atilde;&sect;on et sa r&Atilde;&copy;gion.","http://les-courts-circuits.communityforge.net/system/files/logolescourtscircuitsBAT_1.png","29","9"
"leseldecrest.communityforge.net","leseldecrest.org","","","le SEL de Crest et de ses environs.","http://leseldecrest.org/system/files/le-sel-de-crest.png","126","399"
"leselducoin.communityforge.net","leselducoin.communityforge.net","","","Le SEL du Coin n'est jamais loin ","http://leselducoin.communityforge.net/system/files/LOGO le Sel Du Coin dÃ©finitif.jpg","12","0"
"Les Partag'Heures","lespartagheures.communityforge.net","","","Le temps, c'est bien plus que de l'argent, surtout lorsqu'on le partage","http://lespartagheures.communityforge.net/system/files/g3022.png","25","6"
"lochsel.communityforge.net","lochsel.communityforge.net","","","Mettez ici votre slogan","","1","0"
"Loire&amp;Sel de Blois","loireetselblois.communityforge.net","","","Mettez du sel dans votre vie : rejoignez-nous","http://loireetselblois.communityforge.net/system/files/sel_personnag.jpg","38","189"
"Macasel, SEL de Wavre","macasel.be","0","0","S'entraider entre voisins","http://macasel.be/sites/macasel.be/files/sky_seldulac_logo.jpg","75","189"
"MannaSEL","mannasel.org","","","Des liens plus que des biens","http://mannasel.org/system/files/logoMannasel3_0_1.jpg","7","0"
"MarSEL ","marsel.communityforge.net","5.381693600000062","43.2981887"," &gt; un SEL de Marseille ","http://marsel.communityforge.net/system/files/smart-collaboration.jpg","29","36"
"&Icirc;œ&Icirc;&micro;&Icirc;&raquo;&Icirc;&micro;&Icirc;&ordm;&Icirc;&iquest;&Iuml;&Icirc;&frac12;&Icirc;&sup1;","melekounia.gr","28.223595321178436","36.44838382743976","&Icirc;•&Icirc;&raquo;&Icirc;&not;&Iuml;„&Icirc;&micro; &Icirc;&frac12;&Icirc;&plusmn; &Icirc;&plusmn;&Icirc;&frac12;&Iuml;„&Icirc;&plusmn;&Icirc;&raquo;&Icirc;&raquo;&Icirc;&not;&Icirc;&frac34;&Icirc;&iquest;&Iuml;…&Icirc;&frac14;&Icirc;&micro; &Icirc;&frac14;&Icirc;&micro; &quot;&Icirc;&frac14;&Icirc;&micro;&Icirc;&raquo;&Icirc;&micro;&Icirc;&ordm;&Icirc;&iquest;&Iuml;&Icirc;&frac12;&Icirc;&sup1;&Icirc;&plusmn;&quot;...","","10","15"
"SEL/JEU : Les &Atilde;&copy;changes sans argent","memo.communityforge.net","4.880731","","&Atilde;&copy;changer en Points-Minutes des biens ou services : &Atilde;&sect;a change nos relations","http://memo.communityforge.net/system/files/logo, Ã©changes entre 5 bonhommes_0.jpg","8","0"
"MionSel - Sel de Mions","mionsel.org","0","0","PRIVILEGIER LE LIEN PLUT&Atilde;”T QUE LE BIEN ","http://mionsel.org/system/files/Mionsel.jpg","13","48"
"monselhamois.be","monselhamois.be","","","Passe-moi l'SEL","http://monselhamois.be/sites/monselhamois.be/files/sky_seldulac_logo.JPG","22","30"
"SEL des Monts du Lyonnais ","montsdulyonnais.communityforge.net","","","Je partage, tu partages, il partage, nous partageons, ....","http://montsdulyonnais.communityforge.net/system/files/logo Marie.jpg","33","0"
"Mortuasel","mortuasel.org","","","Une aventure solidaire !","http://mortuasel.org/system/files/Flocon 2.png","12","21"
"motueka.cosh.net.nz","motueka.cosh.net.nz","173.0009842","-41.1240452","Community Share Motueka - Exchange with Hours or Talents","http://motueka.cosh.net.nz/system/files/2014-03-26_1826.png","6","0"
"nacreetsel17.fr","nacreetsel17.fr","","","Une heure de ta vie vaut une heure de la mienne !","http://nacreetsel17.fr/system/files/nacreetsel.png","4","0"
"nantes-en-sel","nantes-en-sel.communityforge.net","","","Le lien avant le bien","http://nantes-en-sel.communityforge.net/system/files/LogoNes2.jpg","18","0"
"Newsletters.communityforge.net","newsletters.communityforge.net","","","L'espace d&Atilde;&copy;di&Atilde;&copy; aux newsletters CommunityForge","","4","0"
"Niver-SEL","niversel.communityforge.net","","","L'humain au coeur des &Atilde;&copy;changes","http://niversel.communityforge.net/system/files/pers du Mq pge.jpg","10","3"
"ourthsel.be","ourthsel.be","0","0","Le SEL, c'est choisir le lien au lieu des biens","http://ourthsel.be/sites/ourthsel.be/files/sky_seldulac_logo.jpg","15","15"
"Our Time Bank","ourtimebank.communityforge.net","","","Building Community in Our Corner of Los Angeles","http://ourtimebank.communityforge.net/system/files/Logo-All-People-OTB-Orange med web-.jpg","22","99"
"outre-foret.communityforge.net","outre-foret.communityforge.net","","","POUR CHANGER, ECHANGEONS !","http://outre-foret.communityforge.net/system/files/dessin logo SEL 2.jpg","17","12"
"phisel.be","phisel.be","4.5430358","50.1958462","Un monde sans SEL est sans saveur ! ","http://phisel.be/sites/phisel.be/files/sky_seldulac_logo.jpg","27","132"
"Poly SEL","poly.communityforge.net","149.569","17.535021","&Atilde;‰changer et partager en Polyn&Atilde;&copy;sie","http://poly.communityforge.net/sites/poly.communityforge.net/files/unnamed.png","16","0"
"Le Pot d'Sel du Belmont","potdseldubelmont.communityforge.net","","","Un peu de sel dans la vie !","http://potdseldubelmont.communityforge.net/system/files/SEL.jpg","14","24"
"POTES EN SEL","potesensel.communityforge.net","","","Syst&Atilde;&uml;me d'Echange Local Ami&Atilde;&copy;nois","http://potesensel.communityforge.net/system/files/fondha-bleu02.jpg","10","0"
"Radis'SEL de la r&Atilde;&copy;gion de Valmont 76","radiselvalmont.communityforge.net","","","Profitons de nos savoir-faire !","http://radiselvalmont.communityforge.net/system/files/logo_r_0.jpg","31","186"
"Ratintout.org","ratintout.communityforge.net","","","Ratintout - le SEL andr&Atilde;&copy;sien","http://ratintout.communityforge.net/system/files/ratintout_logo.png","18","9"
"The Realm Exchange","realmexchange.co.uk","-2.7960205078125","54.04326379429977","The Flexible Online Trading System for Lancaster and Morecambe backed by Gold ","http://realmexchange.co.uk/sites/realmexchange.co.uk/files/sky_seldulac_logo.jpg","1","0"
"Imagine demain...Rencontres InterSel Belgique du 6 au 9 juillet 2017","rencontre-nationale-belge-2017.communityforge.net","","","20 ans du SEL coup de pouce-Demain le SEL en Transition ?","http://rencontre-nationale-belge-2017.communityforge.net/system/files/logo_isa1.jpg","3","0"
"Imagine demain...Rencontres InterSel Belgique du 6 au 9 juillet 2017","rencontre-nationale-2017.communityforge.net","","","20 ans du SEL coup de pouce-Demain le SEL en Transition ?","http://rencontre-nationale-2017.communityforge.net/system/files/SEL_web.png","4","0"
"R&Atilde;&copy;seau Antonin ","reseau-antonin.fr","","","Coop&Atilde;&copy;rer, partager des biens ou des services, &Atilde;&nbsp; St-Antoine-l'abbaye et alentours","http://reseau-antonin.fr/system/files/sa village vu de salle fete.jpg","8","0"
"sel2mers.communityforge.net","sel2mers.communityforge.net","-4.484288","48.397804","un r&Atilde;&copy;seau d'&Atilde;&copy;change de services,de biens,de savoir-faire SANS ARGENT !","http://sel2mers.communityforge.net/system/files/16472929_1478907942150071_6019757738452807669_n.jpg","2","0"
"sel87-universel.fr","sel87.communityforge.net","","","Syst&Atilde;&uml;me d'Echange Local","","7","3"
"SEL99","sel99.fr","","","C'est CHOUETTE le S.E.L....!","http://sel99.fr/system/files/logo copie.png","19","42"
"SELadons Villeneuve la Garenne","seladonsvlg.communityforge.net","","","Echanges de services, de biens et de savoirs","http://seladonsvlg.communityforge.net/system/files/logo.png","4","6"
"Sel'Alternative","selalternative.communityforge.net","1.501719","48.800542","L'espace des alternatives et de l'entraide","http://selalternative.communityforge.net/system/files/Logo-Alternative.jpg","13","0"
"SEL d'Amay","sel-amay.communityforge.net","","","La convivialit&Atilde;&copy; &Atilde;&nbsp; port&Atilde;&copy;e de main","http://sel-amay.communityforge.net/system/files/Amayentransition.jpg","32","48"
"Le SEL Angevin","selangevin.fr","-0.5311384722426737","47.47192496532473","Pour changer &Atilde;&copy;changeons","http://selangevin.fr/system/files/SelAngevin.png","38","36"
"selarden.communityforge.net","selarden.communityforge.net","","","Privil&Atilde;&copy;gier le lien plut&Atilde;&acute;t que le bien","","21","12"
"Sel'Ardenne","selardenne.be","5.808612","50.406843","Pour changer..., Echangeons !","http://selardenne.be/system/files/Sel-ardennejpg.jpg","17","9"
"SEL Arize L&Atilde;&uml;ze","selarizeleze.communityforge.net","","","syst&Atilde;&uml;me d'&Atilde;&copy;change social","http://selarizeleze.communityforge.net/system/files/partage.jpg","7","27"
"&Atilde;‰changeons Mieux Ensemble","selaulnay.communityforge.net","","","Le SEL d'Aulnay-sous-Bois","http://selaulnay.communityforge.net/system/files/logo2_petit.png","27","33"
" SEL'Avenir","selavenir.communityforge.net","","","Syst&Atilde;&uml;me d'Echange Local de Cesson, S&Atilde;&copy;nart et les villes avoisinantes 77","http://selavenir.communityforge.net/system/files/logo sel'avenir.png","10","6"
"SEL &Atilde;&nbsp; Vie","selavie3f.communityforge.net","","","Le partage au c&Aring;“ur des 3 Fronti&Atilde;&uml;res - www.selavie.fr","http://selavie3f.communityforge.net/system/files/SEL-Ã -Vie-Logo-2.2_0.gif","22","24"
"SEL 'AVIE","selaviechaponost.communityforge.net","","","","http://selaviechaponost.communityforge.net/system/files/avatar _1.png","22","33"
"Sel &Atilde;&nbsp; vie","selavie.communityforge.net","","","Syst&Atilde;&uml;me d&acirc;€™&Atilde;&copy;changes local d&acirc;€™Orl&Atilde;&copy;ans Madeleine","http://selavie.communityforge.net/system/files/sel.jpg","12","15"
"SELavie Gaume","selaviegaume.be","5.500031","0","Syst&Atilde;&uml;me d&acirc;€™Echange Local en Gaume","http://selaviegaume.be/sites/selaviegaume.be/files/sky_seldulac_logo.jpg","14","30"
"Le Sel-Aywaille","sel-aywaille.org","5.675840","50.473180","Plateforme d'Echange: Pour celles et ceux chez qui l'entraide est une volont&Atilde;&copy; ind&Atilde;&copy;niable... ","http://sel-aywaille.org/system/files/Logo-Final.jpg","4","0"
"Sel Basse Meuse","sel-bassemeuse.communityforge.net","","","Le bonheur est dans l'&Atilde;&copy;change !","http://sel-bassemeuse.communityforge.net/system/files/1798154_314948445321434_1724267097860601323_n.jpg","3","0"
"selcalade","selcalade.communityforge.net","","","Des &Atilde;&copy;changes pour se rencontrer, des rencontres pour &Atilde;&copy;changer","http://selcalade.communityforge.net/system/files/Raisins dessin.jpg","26","63"
"sel-chevigny.be","sel-chevigny.be","5.3448617","49.9123264","On a tous quelque chose &Atilde;&nbsp; partager","http://sel-chevigny.be/system/files/Logo-Chevigny.jpg","1","0"
"selclairdelune.communityforge.net","selclairdelune.communityforge.net","","","Mettez du S.E.L dans votre vie ","http://selclairdelune.communityforge.net/system/files/like-the-wind_by_webby85.jpg","36","189"
"Selclunisois","selclunisois.communityforge.net","4.659274","46.434135","Le SEL ne s'use que si l'on ne s'en sert pas ......","http://selclunisois.communityforge.net/sites/selclunisois.communityforge.net/files/sky_seldulac_logo.JPG","72","45"
"Le SEL de Collemiers","selcollemiers.communityforge.net","","","Pour changer, &Atilde;&copy;changeons","http://selcollemiers.communityforge.net/system/files/logo.png","15","12"
"Sel Co-Naissances","selconaissances.communityforge.net","4.835659","45.764043","Faire &Atilde;&copy;merger les talents, les projets, et faciliter leur concr&Atilde;&copy;tisation","http://selconaissances.communityforge.net/system/files/Co-naissances.jpg","2","0"
"SEL coup de pouce","selcoupdepouce.be","0","0","Syst&Atilde;&uml;me d'Echange Local - &Atilde;&copy;changer, c'est changer !","http://selcoupdepouce.be/sites/selcoupdepouce.be/files/logo.jpg","171","567"
"seldebeaurepaire.fr","seldebeaurepaire.communityforge.net","","","Certains, individuellement, iront plus vite, mais Ensemble nous irons plus loin...!","http://seldebeaurepaire.communityforge.net/system/files/ampoule.jpg","30","42"
